# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object94    7.94316    -3.13846   14.777   14.386   14.407   17.711   16.4     15.849   15.666   15.584  
  object95    6.05845    -2.8362    12.504   12.091   11.969   16.329   14.724   14.154   14.372   13.78   
  object96    10.60617   -5.51101   12.097   11.477   11.348   17.08    15.041   13.795   13.461   13.143  
  object97    8.9062     -5.42304   16.29    15.895   15.821   18.265   17.298   17.082   17.058   17.046  
  object98    9.76838    -5.34039   14.809   14.244   14.163   19.202   17.209   16.399   16.049   15.844  
  object99    9.34078    -5.24872   12.883   12.634   12.594   15.221   16.227   13.807   13.86    13.776  
  object100   8.759      -3.17985   999       999       999       999       999       999       999       999      
  object101   12.75574   -5.32831   14.495   13.849   13.782   19.148   16.916   15.897   15.505   15.267  
  object102   12.33089   -4.98401   12.497   12.162   12.078   15.012   13.758   13.443   13.352   13.321  
  object103   11.73111   -4.56887   13.254   12.952   12.909   16.496   15.071   14.491   14.285   14.225  
  object104   12.98143   -3.80325   15.276   14.87    14.846   17.987   16.734   16.161   15.952   15.821  
  object105   13.77483   -3.79065   13.801   13.315   13.193   17.539   15.758   15.074   14.81    14.678  
  object106   11.59917   -3.25208   12.462   12.321   12.248   15.11    14.576   14.893   15.503   13.527  
  object107   16.10725   -5.05848   12.874   12.223   12.032   18.92    16.332   15.105   14.5     14.113  
  object108   16.53563   -4.50477   15.559   14.999   14.848   19.415   17.709   16.936   16.677   16.462  
  object109   14.45836   -2.96876   12.178   11.751   11.633   16.324   14.674   12.404   12.276   13.454  
  object110   18.19498   -5.56227   13.224   12.951   12.933   15.785   14.626   14.201   14.2     14.126  
  object111   19.02845   -4.49507   14.645   13.966   13.978   17.858   17.059   16.312   16.002   15.756  
  object112   17.33877   -4.36083   14.471   14.333   14.351   16.068   15.016   14.858   14.898   14.937  
  object113   20.01364   -5.38481   14.105   13.919   13.742   16.338   15.41    15.129   14.991   14.966  
  object114   19.93323   -5.09544   16.425   16.035   15.449   18.587   17.388   17.315   17.371   17.376  
  object115   22.26049   -3.62899   12.695   12.054   11.916   18.464   16.007   14.688   14.074   13.723  
  object116   22.18565   -3.58691   15.332   14.616   14.518   20.302   18.158   17.143   16.678   16.418  
  object117   24.28128   -5.18443   14.661   14.464   14.363   16.552   15.318   15.263   15.303   15.352  
  object118   24.28615   -4.79263   13.397   12.818   12.671   18.319   16.145   15.142   14.741   14.507  
  object119   22.7015    -4.34471   14.198   13.816   13.682   17.375   15.775   15.351   15.163   15.059  
  object120   23.47763   -3.76901   14.629   14.167   14.132   17.384   16.163   15.654   15.488   15.423  
  object121   22.75442   -2.91139   13.864   13.289   13.132   18.346   16.592   15.758   15.362   15.07   
  object122   25.62873   -4.78366   13.213   12.998   13.001   15.335   14.221   14.108   14.007   14.049  
  object123   26.9205    -3.56234   12.825   12.423   12.282   16.802   15.016   13.993   13.844   14.048  
  object124   27.77494   -3.5448    11.929   11.392   11.264   16.468   15.496   13.525   13.233   13.562  
  object125   29.79144   -5.5898    13.715   13.259   13.136   16.859   15.446   14.885   14.706   14.62   
  object126   29.46797   -5.53418   11.285   11.184   11.127   14.497   12.243   14.361   12.047   13.218  
  object127   30.8837    -5.22751   14.671   14.243   14.0     17.888   16.499   15.925   15.7     15.591  
  object128   29.34758   -4.43463   15.179   14.888   14.809   18.227   16.796   16.317   16.133   16.051  
  object129   28.28008   -4.21899   13.046   12.698   12.645   15.824   14.597   14.136   14.374   13.995  
  object130   28.65707   -4.15219   10.841   10.624   10.611   14.13    11.96    11.403   11.404   13.124  
  object131   31.39195   -4.84663   13.386   12.854   12.731   17.648   15.705   14.896   14.586   14.368  
  object132   32.26283   -4.43758   16.08    15.483   15.283   20.996   18.997   18.13    17.715   17.42   
  object133   33.3979    -4.4287    15.433   15.163   15.358   18.15    16.918   16.48    16.328   16.338  
  object134   33.41915   -4.18894   13.797   13.156   13.052   19.444   16.998   15.749   15.231   14.931  
  object135   33.26382   -4.07051   12.984   12.522   12.399   16.775   15.111   14.406   17.413   14.014  
  object136   30.98891   -3.73068   14.727   14.437   14.451   16.979   15.908   15.634   15.547   15.539  
